Nome,Squadra,Pv,Mv,Fm,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au
Meret,Napoli,34,6.32,5.71,0,25,2,0,0,0,0,0,0,1
Svilar,Roma,38,6.32,5.38,0,35,0,0,0,0,0,1,0,0
Milinkovic-Savic V.,Torino,37,6.3,5.45,0,42,4,0,0,0,0,3,0,0
De Gea,Fiorentina,35,6.34,5.41,0,38,2,0,0,0,0,1,0,0
Carnesecchi,Atalanta,34,6.34,5.32,0,34,0,0,0,0,0,1,0,0
Sommer,Inter,33,6.18,5.3,0,32,1,0,0,0,0,0,0,0
Di Gregorio,Juventus,33,6.15,5.18,0,32,0,0,0,0,0,0,0,0
Maignan,Milan,37,6.18,5.14,0,41,1,0,0,0,0,1,0,0
Caprile,Cagliari,22,6.2,5.16,0,23,0,0,0,0,0,0,0,0
Skorupski,Bologna,27,6.17,5.04,0,33,1,0,0,0,0,1,0,0
Leali,Genoa,29,6.16,5.1,0,31,1,0,0,0,0,1,0,1
Mandas,Lazio,9,6.28,5.5,0,7,0,0,0,0,0,0,0,0
Falcone,Lecce,38,6.26,4.79,0,58,1,0,0,0,0,2,0,0
Suzuki,Parma,37,6.22,4.76,0,53,0,0,0,0,0,0,1,0
Vasquez D.,Empoli,32,6.02,4.67,0,45,1,0,0,0,0,2,0,0
Turati,Monza,30,6.3,4.75,0,52,2,0,0,0,0,1,0,0
Butez,Como,18,6.22,5.22,0,18,0,0,0,0,0,0,0,0
Martinez Jo.,Inter,5,6.3,5.7,0,3,0,0,0,0,0,0,0,0
Okoye,Udinese,25,6.1,4.4,0,40,0,0,0,0,0,1,0,1
Montipo',Verona,36,6.19,4.44,0,64,1,0,0,0,0,0,0,1
Stankovic F.,Venezia,15,6.6,5.23,0,23,1,0,0,0,0,1,0,0
Radu I.,Venezia,15,6.47,5.23,0,18,0,0,0,0,0,1,0,0
Provedel,Lazio,29,5.98,4.53,0,42,0,0,0,0,0,0,0,0
Ravaglia F.,Bologna,12,6,4.83,0,14,0,0,0,0,0,0,0,0
Musso,Atalanta,1,6,6,0,0,0,0,0,0,0,0,0,0
Sava,Udinese,12,6.04,4.67,0,16,0,0,0,0,0,1,0,0
Reina,Como,12,5.75,4.5,0,14,0,0,0,0,0,0,1,0
Sommariva,Genoa,1,7,6,0,1,0,0,0,0,0,0,0,0
Audero,Como,8,6,3.75,0,18,0,0,0,0,0,0,0,0
Terracciano,Fiorentina,3,6.17,5.17,0,3,0,0,0,0,0,0,0,0
Perin,Juventus,5,6.1,5.5,0,3,0,0,0,0,0,0,0,0
Sportiello,Milan,2,6,5,0,2,0,0,0,0,0,0,0,0
Joronen,Venezia,8,5.5,3.38,0,15,0,0,0,0,0,0,0,1
Perilli,Verona,2,6,5,0,2,0,0,0,0,0,0,0,0
Pizzignacco,Monza,9,6.06,3.94,0,17,0,0,0,0,0,0,0,1
Siegrist,Genoa,2,6.5,5.5,0,2,0,0,0,0,0,0,0,0
Rossi F.,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
Bagnolini,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0
