
Nome,Atalanta,Bologna,Cagliari,Como,Cremonese,Fiorentina,Genoa,Inter,Juventus,Lazio,Lecce,Milan,Napoli,Parma,Pisa,Roma,Sassuolo,Torino,Udinese,Verona
Atalanta,,12,10,13,3,11,15,9,15,3,11,11,2,7,8,16,8,4,7,6
Bologna,12,,8,7,8,10,11,6,9,9,12,12,9,13,9,10,4,10,7,5
Cagliari,10,8,,12,7,10,12,8,10,10,6,11,9,8,9,9,9,9,7,7
Como,13,7,12,,6,7,13,12,13,5,7,7,4,8,12,14,10,6,8,7
Cremonese,3,8,7,6,,6,2,10,3,14,9,8,15,11,13,5,10,16,14,11
Fiorentina,11,10,10,7,6,,11,7,10,11,9,12,10,9,1,8,9,9,7,14
Genoa,15,11,12,13,2,11,,9,14,5,12,11,4,8,7,14,8,5,4,6
Inter,9,6,8,12,10,7,9,,12,10,8,1,10,5,11,9,12,7,13,12
Juventus,15,9,10,13,3,10,14,12,,5,11,8,5,5,9,14,12,0,7,9
Lazio,3,9,10,5,14,11,5,10,5,,7,8,18,11,8,0,9,14,11,13
Lecce,11,12,6,7,9,9,12,8,11,7,,11,8,9,10,12,7,8,6,8
Milan,11,12,11,7,8,12,11,1,8,8,11,,8,13,7,11,8,11,6,7
Napoli,2,9,9,4,15,10,4,10,5,18,8,8,,11,9,1,9,14,12,13
Parma,7,13,8,8,11,9,8,5,5,11,9,13,11,,10,8,5,14,9,7
Pisa,8,9,9,12,13,1,7,11,9,8,10,7,9,10,,11,10,10,11,6
Roma,16,10,9,14,5,8,14,9,14,0,12,11,1,8,11,,10,5,8,6
Sassuolo,8,4,9,10,10,9,8,12,12,9,7,8,9,5,10,10,,7,11,13
Torino,4,10,9,6,16,9,5,7,0,14,8,11,14,14,10,5,7,,12,10
Udinese,7,7,7,8,14,7,4,13,7,11,6,6,12,9,11,8,11,12,,11
Verona,6,5,7,7,11,14,6,12,9,13,8,7,13,7,6,6,13,10,11,

