Nome,Squadra,Tipo_Infortunio,Rientro_Mesi
Ederson D.S.,Atalanta,Intervento chirurgico menisco ginocchio,1
Kolasinac,Atalanta,Rottura crociato anteriore + lesione menisco,2
Bakker,Atalanta,Rottura crociato anteriore + sutura menisco,5
Casale,Bologna,Lesione bicipite femorale destro,1
Pobega,Bologna,Lesione retto femorale sinistro,1
Immobile,Bologna,Lesione retto femorale destro,2
Sulemana I.,Bologna,Lesione legamento collaterale mediale destro,1
Pavoletti,Cagliari,Noie fisiche generiche,1
Dossena,Como,Lesione crociato anteriore ginocchio destro,1
Van Der Brempt,Como,Lesione muscolo retto femorale,1
Diao,Como,Frattura quinto metatarso piede destro,2
Johnsen,Cremonese,Noie fisiche generiche,1
Kouamè,Fiorentina,Lesione crociato anteriore ginocchio destro,1
Otoa,Genoa,Guaio muscolare gamba,1
Cabal,Juventus,Lesione crociato anteriore ginocchio sinistro,1
Gigot,Lazio,Problema caviglia operato,3
Patric,Lazio,Lesione muscolare retto femorale sinistro,1
Lazzari,Lazio,Noie muscolari polpaccio destro,1
Jean,Lecce,Lesione crociato anteriore + collaterale mediale,2
Marchwinski,Lecce,Rottura crociato + menisco laterale,1
Jashari,Milan,Frattura composta perone destro,2
Gutierrez,Napoli,Infortunio caviglia,1
Neres,Napoli,Problema muscolare,1
Rrahmani,Napoli,Lesione bicipite femorale coscia destra,1
Lukaku,Napoli,Lesione alto grado retto femorale coscia sinistra,3
Hernani,Parma,Problema caviglia,1
Ondrejka,Parma,Frattura perone sinistro,4
Frigan,Parma,Rottura crociato anteriore ginocchio sinistro,5
Esteves T.,Pisa,Rottura completa tendine rotuleo ginocchio sinistro,1
Vural,Pisa,Stato infiammatorio tendine rotuleo destro,1
Bailey,Roma,Lesione miotendinea retto femorale destro,1
Thorstvedt,Sassuolo,Guaio fisico piede,1
Skjellerup,Sassuolo,Noie fisiche generiche,1
Schuurs,Torino,Calvario ginocchio,5
Padelli,Udinese,Trauma distorsivo contusivo ginocchio destro,1
Lovric,Udinese,Noie muscolari,1
Okoye,Udinese,Squalificato,2
Valentini N.,Verona,Lesione secondo grado bicipite femorale sinistro,2
Suslov,Verona,Rottura crociato anteriore ginocchio sinistro,5
