Nome,Ruolo,Squadra,Media,FantaMedia,>= 6,MotM,Con voto,Senza voto,G,R,Reti,Rigori,Assist,Rigori sbagliati,Autogoal,Goal subiti,Rigori parati,Attivo
Martinez L.,Attaccante,Inter,6.50,8.25,1,0,2,0,1,0,1,0,1,0,0,0,0,True
Kean,Attaccante,Fiorentina,5.00,5.00,0,0,2,0,0,0,0,0,0,0,0,0,0,True
Thuram,Attaccante,Inter,7.00,10.50,2,1,2,0,0,0,2,0,1,0,0,0,0,True
Orsolini,Centrocampista,Bologna,6.50,8.00,2,1,2,0,0,0,1,0,0,0,0,0,0,True
Lukaku,Attaccante,Napoli,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Lookman,Attaccante,Atalanta,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Pulisic,Centrocampista,Milan,6.50,8.00,2,0,2,0,0,0,1,0,0,0,0,0,0,True
David,Attaccante,Juventus,6.00,7.50,1,0,2,0,0,0,1,0,0,0,0,0,0,True
Vlahovic,Attaccante,Juventus,7.00,10.00,2,1,2,0,0,0,2,0,0,0,0,0,0,True
Zaccagni,Centrocampista,Lazio,6.25,7.50,1,0,2,0,1,0,1,0,0,0,0,0,0,True
McTominay,Centrocampista,Napoli,6.75,8.25,2,1,2,0,0,0,1,0,0,0,0,0,0,True
Dybala,Attaccante,Roma,6.50,6.50,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Yildiz,Attaccante,Juventus,6.75,7.75,2,1,2,0,0,0,0,0,2,0,0,0,0,True
Gudmundsson A.,Centrocampista,Fiorentina,5.75,6.25,1,0,2,0,0,0,0,0,1,0,0,0,0,True
Gimenez,Attaccante,Milan,5.25,5.25,0,0,2,0,0,0,0,0,0,0,0,0,0,True
Hojlund,Attaccante,Napoli,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Leao,Attaccante,Milan,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
De Bruyne,Centrocampista,Napoli,6.25,7.50,1,0,2,0,1,0,1,0,0,0,0,0,0,True
Rabiot,Centrocampista,Milan,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Calhanoglu,Centrocampista,Inter,5.00,5.00,0,0,1,0,0,0,0,0,0,0,0,0,0,True
Castellanos,Attaccante,Lazio,7.00,9.25,1,1,2,0,1,0,1,0,2,0,0,0,0,True
Openda,Attaccante,Juventus,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
