Squadra, Nome Giocatore
Atalanta, Carnesecchi
Atalanta, Kossounou
Atalanta, Hien
Atalanta, Scalvini
Atalanta, Bellanova
Atalanta, De Roon
Atalanta, Ederson
Atalanta, Zalewski
Atalanta, De Ketelaere
Atalanta, Pasalic
Atalanta, Scamacca
Bologna, Skorupski
Bologna, Zortea
Bologna, Vitik
Bologna, Lucumi
Bologna, Miranda
Bologna, Ferguson
Bologna, Freuler
Bologna, Orsolini
Bologna, Odgaard
Bologna, Cambiaghi
Bologna, Castro
Cagliari, Caprile
Cagliari, Zappa
Cagliari, Mina
Cagliari, Luperto
Cagliari, Palestra
Cagliari, Adopo
Cagliari, Prati
Cagliari, Deiola
Cagliari, Obert
Cagliari, Folorunsho
Cagliari, S. Esposito
Como, Butez
Como, Vojvoda
Como, Ramon
Como, Kempf
Como, Valle
Como, Perrone
Como, Da Cunha
Como, Kuhn
Como, Paz
Como, Jesus Rodriguez
Como, Morata
Cremonese, Audero
Cremonese, Terracciano
Cremonese, Baschirotto
Cremonese, Bianchetti
Cremonese, Zerbin
Cremonese, Collocolo
Cremonese, Bondo
Cremonese, Vandeputte
Cremonese, Pezzella
Cremonese, Sanabria
Cremonese, Vardy
Fiorentina, De Gea
Fiorentina, Comuzzo
Fiorentina, Pongracic
Fiorentina, Ranieri
Fiorentina, Dodo
Fiorentina, Sohm
Fiorentina, Mandragora
Fiorentina, Fagioli
Fiorentina, Gosens
Fiorentina, Kean
Fiorentina, Gudmundsson
Genoa, Leali
Genoa, Norton-Cuffy
Genoa, Ostigard
Genoa, Vasquez
Genoa, Martin
Genoa, Frendrup
Genoa, Masini
Genoa, Carboni
Genoa, Stanciu
Genoa, Gronbaek
Genoa, Colombo
Inter, Sommer
Inter, Akanji
Inter, Acerbi
Inter, Bastoni
Inter, Dumfries
Inter, Barella
Inter, Calhanoglu
Inter, Sucic
Inter, Dimarco
Inter, Thuram
Inter, Lautaro Martinez
Juventus, Di Gregorio
Juventus, Kalulu
Juventus, Bremer
Juventus, Gatti
Juventus, Joao Mario
Juventus, Thuram
Juventus, Locatelli
Juventus, Cambiaso
Juventus, Conceicao
Juventus, Yildiz
Juventus, David
Lazio, Provedel
Lazio, Marusic
Lazio, Gila
Lazio, Romagnoli
Lazio, Nuno Tavares
Lazio, Guendouzi
Lazio, Rovella
Lazio, Dele-Bashiru
Lazio, Isaksen
Lazio, Castellanos
Lazio, Zaccagni
Lecce, Falcone
Lecce, Danilo Veiga
Lecce, Tiago Gabriel
Lecce, Gaspar
Lecce, Gallo
Lecce, Coulibaly
Lecce, Pierret
Lecce, Helgason
Lecce, Pierotti
Lecce, Stulic
Lecce, Tete Morente
Milan, Maignan
Milan, Tomori
Milan, Gabbia
Milan, Pavlovic
Milan, Saelemaekers
Milan, Fofana
Milan, Modric
Milan, Rabiot
Milan, Estupinan
Milan, Pulisic
Milan, Leao
Napoli, Meret
Napoli, Di Lorenzo
Napoli, Rrahmani
Napoli, Buongiorno
Napoli, Olivera
Napoli, Lobotka
Napoli, Politano
Napoli, Anguissa
Napoli, De Bruyne
Napoli, McTominay
Napoli, Hojlund
Parma, Suzuki
Parma, Delprato
Parma, Circati
Parma, Troilo
Parma, Lovik
Parma, Bernabe
Parma, Keita
Parma, Ordonez
Parma, Valeri
Parma, Cutrone
Parma, Pellegrino
Pisa, Semper
Pisa, Caracciolo
Pisa, Albiol
Pisa, Denoon
Pisa, Toure
Pisa, Aebischer
Pisa, Marin
Pisa, Angori
Pisa, Stengs
Pisa, Tramoni
Pisa, Nzola
Roma, Svilar
Roma, Hermoso
Roma, Mancini
Roma, Ndicka
Roma, Wesley
Roma, Kone
Roma, Cristante
Roma, Angelino
Roma, Dybala
Roma, Soule
Roma, Ferguson
Sassuolo, Muric
Sassuolo, Walukiewicz
Sassuolo, Muharemovic
Sassuolo, Idzes
Sassuolo, Doig
Sassuolo, Thorstvedt
Sassuolo, Boloca
Sassuolo, Kone
Sassuolo, Berardi
Sassuolo, Pinamonti
Sassuolo, Lauriente
Torino, Israel
Torino, Lazaro
Torino, Ismajli
Torino, Coco
Torino, Biraghi
Torino, Anjorin
Torino, Asllani
Torino, Casadei
Torino, Ngonge
Torino, Zapata
Torino, Vlasic
Udinese, Sava
Udinese, Bertola
Udinese, Kristensen
Udinese, Solet
Udinese, Ehizibue
Udinese, Atta
Udinese, Karlstrom
Udinese, Ekkelenkamp
Udinese, Kamara
Udinese, Zaniolo
Udinese, Davis
Verona, Montipo
Verona, Unai Nunez
Verona, Nelsson
Verona, Frese
Verona, Cham
Verona, Serdar
Verona, Bernede
Verona, Niasse
Verona, Bradaric
Verona, Giovane
Verona, Sarr
